solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,pack_forward_s_max,mpi_forward_s_max,unpack_forward_s_max,reduced_compute_s_max,pack_backward_s_max,mpi_backward_s_max,unpack_backward_s_max,update_compute_s_max,compute_s_max,communication_s_max,packing_s_max
tdma,cuda-cxx,2,128,256,4096,32768,2048,2048,0,10,device,0.051862569,0.0518434755,0.003694785,3.2739e-05,0.044947361,4.8954e-05,2.9974e-05,1.1317e-05,0.00641684,1.3601e-05,0.001101503,0.004826262,0.046939881,0.000106611
tdma,cuda-cxx,2,128,256,4096,32768,2048,2048,1,10,device,0.004850749,0.004849673,0.003503548,2.3866e-05,0.000164226,2.1392e-05,1.4512e-05,1.0216e-05,1.7597e-05,9.805e-06,0.001089125,0.004606794,0.000181823,6.5018e-05
tdma,cuda-cxx,2,128,256,4096,32768,2048,2048,2,10,device,0.004702977,0.0047027265,0.0034922,2.1783e-05,3.1868e-05,2.1272e-05,1.2488e-05,1.0015e-05,2.685e-05,9.46400000001e-06,0.001087041,0.004591729,5.6385e-05,6.2534e-05
tdma,cuda-cxx,2,128,256,4096,32768,2048,2048,3,10,device,0.00470459,0.00470442,0.003494795,2.2053e-05,3.0155e-05,2.1693e-05,1.2779e-05,9.805e-06,2.5708e-05,9.545e-06,0.001088303,0.004595877,5.1156e-05,6.2044e-05
tdma,cuda-cxx,2,128,256,4096,32768,2048,2048,4,10,device,0.004712592,0.0047122965,0.003494465,2.2054e-05,3.0115e-05,2.1613e-05,1.2719e-05,9.72399999999e-06,3.36e-05,9.605e-06,0.001088643,0.004595827,5.9048e-05,6.2794e-05
tdma,cuda-cxx,2,128,256,4096,32768,2048,2048,5,10,device,0.004701545,0.00470139,0.003491269,2.2194e-05,3.1567e-05,2.1042e-05,1.2669e-05,9.67399999999e-06,2.7071e-05,9.56399999999e-06,0.001086591,0.004590378,5.6505e-05,6.2474e-05
tdma,cuda-cxx,2,128,256,4096,32768,2048,2048,6,10,device,0.004703108,0.0047022515,0.0034922,2.2194e-05,3.2759e-05,2.0871e-05,1.2749e-05,1.0586e-05,1.8958e-05,9.79500000001e-06,0.001090467,0.004593824,4.8904e-05,6.3446e-05
tdma,cuda-cxx,2,128,256,4096,32768,2048,2048,7,10,device,0.004704881,0.0047015955,0.003491119,2.1723e-05,3.2508e-05,2.1282e-05,1.2619e-05,9.864e-06,2.004e-05,9.66499999999e-06,0.001092529,0.004593603,4.8652e-05,6.2344e-05
tdma,cuda-cxx,2,128,256,4096,32768,2048,2048,8,10,device,0.004702326,0.0047015905,0.003492671,2.1913e-05,2.9083e-05,2.1091e-05,1.296e-05,9.905e-06,2.3816e-05,9.46400000001e-06,0.001088754,0.004594385,5.0015e-05,6.2373e-05
tdma,cuda-cxx,2,128,256,4096,32768,2048,2048,9,10,device,0.004701295,0.004699863,0.003493974,2.1903e-05,3.1357e-05,2.0971e-05,1.288e-05,9.76400000002e-06,1.6004e-05,9.73500000001e-06,0.001089846,0.004593334,4.5718e-05,6.2373e-05
